symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
CHD,2017-09-01,49.356,49.6017,False,49.2282,49.3757,reg,1178356
CHD,2017-09-05,49.5329,49.5919,False,49.0906,49.0906,reg,1647396
CHD,2017-09-06,48.9726,49.5821,False,48.6187,49.5722,reg,1049362
CHD,2017-09-07,48.6384,49.1594,False,48.4762,49.0513,reg,1071947
CHD,2017-09-08,48.2845,48.4811,False,47.9012,48.4811,reg,1183869
CHD,2017-09-11,48.776,48.9087,False,48.2452,48.3533,reg,1495796
CHD,2017-09-12,48.5893,49.0808,False,48.5549,48.8743,reg,1337562
CHD,2017-09-13,48.4418,48.6482,False,48.2767,48.5696,reg,1193425
CHD,2017-09-14,48.8153,48.8252,False,48.2993,48.3632,reg,1225685
CHD,2017-09-15,49.5722,49.6116,False,48.717,48.717,reg,2644107
CHD,2017-09-18,49.7492,49.7688,False,49.356,49.5722,reg,2019191
CHD,2017-09-19,49.7099,50.1227,False,49.5919,49.8278,reg,1211621
CHD,2017-09-20,48.8448,49.7688,False,48.7367,49.6804,reg,1482524
CHD,2017-09-21,47.6652,48.8252,False,47.5866,48.7367,reg,1445799
CHD,2017-09-22,47.7832,48.029,False,47.449,47.6259,reg,1310084
CHD,2017-09-25,47.6456,48.0093,False,47.5866,47.8815,reg,1112329
CHD,2017-09-26,47.911,48.0486,False,47.4981,47.6751,reg,955428
CHD,2017-09-27,47.2229,47.911,False,46.869,47.8225,reg,1162267
CHD,2017-09-28,47.3015,47.4686,False,47.0066,47.1541,reg,1553369
CHD,2017-09-29,47.6259,47.6751,False,47.3015,47.39,reg,1184842
CHD,2017-10-02,47.1148,47.8029,False,47.0755,47.6358,reg,957933
CHD,2017-10-03,46.5545,47.2426,False,46.5151,47.1148,reg,1383621
CHD,2017-10-04,46.8297,46.8592,False,46.4365,46.525,reg,3754080
CHD,2017-10-05,47.1148,47.4293,False,46.9182,47.1738,reg,1926272
CHD,2017-10-06,46.6429,47.2131,False,46.5692,47.0263,reg,1289952
CHD,2017-10-09,46.2202,46.7314,False,46.063,46.6429,reg,1799173
CHD,2017-10-10,46.5741,46.5938,False,45.6305,46.2202,reg,1675400
CHD,2017-10-11,46.5938,47.3114,False,46.4168,46.584,reg,1190668
CHD,2017-10-12,46.9083,46.9182,False,46.4955,46.5348,reg,1159528
CHD,2017-10-13,47.1443,47.4392,False,46.81,46.9182,reg,1220863
CHD,2017-10-16,47.04600000000001,47.1354,False,46.8199,47.1246,reg,1231804
CHD,2017-10-17,46.8887,46.9378,False,46.5741,46.8494,reg,1119225
CHD,2017-10-18,46.6036,47.0656,False,46.466,46.9083,reg,1401223
CHD,2017-10-19,46.4758,46.4758,False,46.1121,46.4168,reg,1273307
CHD,2017-10-20,45.3945,46.4119,False,45.0013,46.407,reg,2418025
CHD,2017-10-23,45.4044,45.6599,False,45.2078,45.4339,reg,1737935
CHD,2017-10-24,44.9424,45.5911,False,44.903,45.4142,reg,1546593
CHD,2017-10-25,44.9817,45.2127,False,44.15600000000001,44.9129,reg,1530852
CHD,2017-10-26,44.9817,45.3552,False,44.8932,45.0308,reg,1453519
CHD,2017-10-27,44.5492,44.7851,False,44.3182,44.5885,reg,1712016
CHD,2017-10-30,44.0478,44.4804,False,43.9889,44.4509,reg,2194691
CHD,2017-10-31,44.4017,44.6573,False,43.979,44.0478,reg,3555349
CHD,2017-11-01,45.3945,45.6845,False,44.5098,44.618,reg,4003726
CHD,2017-11-02,44.6573,45.3159,False,43.2516,45.2864,reg,5230949
CHD,2017-11-03,43.173,44.7261,False,42.7601,44.6573,reg,2914329
CHD,2017-11-06,42.5832,43.1337,False,42.4751,43.0845,reg,2897615
CHD,2017-11-07,43.0157,43.1337,False,42.6815,42.71100000000001,reg,3160632
CHD,2017-11-08,43.694,43.979,False,43.2516,43.2516,reg,2412120
CHD,2017-11-09,43.2516,44.038,False,43.2418,43.6252,reg,2566315
CHD,2017-11-10,43.9889,44.2051,False,43.2123,43.2516,reg,3618838
CHD,2017-11-13,44.7654,44.7851,False,43.9889,44.0282,reg,2189687
CHD,2017-11-14,45.1504,45.3676,False,44.6667,44.6667,reg,3565354
CHD,2017-11-15,43.8375,45.1208,False,43.8079,45.0517,reg,1850639
CHD,2017-11-16,44.5581,44.7358,False,43.9066,44.0251,reg,2138114
CHD,2017-11-17,44.1732,44.6272,False,43.8672,44.2916,reg,1871320
CHD,2017-11-20,44.1041,44.3706,False,43.8326,44.1041,reg,1486253
CHD,2017-11-21,44.2225,44.6075,False,44.0646,44.1732,reg,1257260
CHD,2017-11-22,44.183,44.6174,False,43.9609,44.4594,reg,1523022
