symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
MA,2017-09-01,132.469,133.1251,False,132.3695,133.0655,reg,2447352
MA,2017-09-05,131.8923,132.1608,False,130.918,132.0713,reg,2726534
MA,2017-09-06,132.121,132.8865,False,131.8227,132.2204,reg,3652076
MA,2017-09-07,135.7399,137.8377,False,134.865,135.2925,reg,7268966
MA,2017-09-08,136.4259,136.9429,False,135.2726,135.4317,reg,4452115
MA,2017-09-11,141.1683,141.1683,False,138.3746,138.5535,reg,5457576
MA,2017-09-12,141.5958,142.6895,False,140.9894,141.8344,reg,3774971
MA,2017-09-13,139.2893,141.3075,False,138.7325,141.1982,reg,3613812
MA,2017-09-14,140.6513,140.9794,False,138.5635,138.6927,reg,4179357
MA,2017-09-15,140.7607,141.8643,False,139.0009,141.4964,reg,6152491
MA,2017-09-18,140.5817,140.8701,False,139.6969,140.8402,reg,2843463
MA,2017-09-19,141.6654,142.7591,False,141.049,141.1087,reg,4179040
MA,2017-09-20,141.4169,142.244,False,140.6016,141.4268,reg,2749706
MA,2017-09-21,140.8999,141.3572,False,140.373,140.8701,reg,2835347
MA,2017-09-22,141.0689,141.576,False,140.6812,140.6812,reg,1860351
MA,2017-09-25,137.7681,141.2777,False,137.6389,141.2479,reg,5541218
MA,2017-09-26,137.5693,138.5734,False,136.9529,138.2155,reg,3162640
MA,2017-09-27,138.8618,139.3688,False,137.7482,137.9968,reg,3716836
MA,2017-09-28,139.3887,139.3986,False,138.0366,138.6331,reg,2731952
MA,2017-09-29,140.3829,140.9198,False,139.6074,140.015,reg,2603199
MA,2017-10-02,140.9993,142.1029,False,140.6513,141.0788,reg,2300684
MA,2017-10-03,142.1924,142.3514,False,140.88,141.1683,reg,2514544
MA,2017-10-04,141.2677,142.1725,False,140.5022,141.904,reg,3245735
MA,2017-10-05,143.1398,143.1696,False,141.8254,141.9548,reg,2723016
MA,2017-10-06,142.9107,143.1696,False,142.1639,142.8908,reg,3067386
